blink id,start timestamp [ns],end timestamp [ns],duration [ms]
594,1734347825265473455,1734347825661120455,396
595,1734347826765068455,1734347827129110455,364
596,1734347828321096455,1734347828697057455,376
597,1734347830733229455,1734347831093057455,360
598,1734347832481056455,1734347832825279455,344
599,1734347834093194455,1734347834429084455,336
600,1734347835705047455,1734347836025122455,320
601,1734347837293127455,1734347837641077455,348
602,1734347838033075455,1734347838413055455,380
603,1734347838569154455,1734347839053045455,484
604,1734347839461075455,1734347839845082455,384
605,1734347841133133455,1734347841489060455,356
606,1734347843397048455,1734347843741497455,344
607,1734347847465111455,1734347847813049455,348
608,1734347849429145455,1734347849793046455,364
609,1734347849797096455,1734347850213040455,416
610,1734347850221165455,1734347850613105455,392
611,1734347850881035455,1734347851245077455,364
612,1734347852185061455,1734347852421163455,236
613,1734347852429111455,1734347852837077455,408
614,1734347855009118455,1734347855405052455,396
615,1734347856281160455,1734347856649146455,368
616,1734347861485047455,1734347861801046455,316
617,1734347862757051455,1734347863113176455,356
618,1734347871421893455,1734347871749059455,327
619,1734347872665071455,1734347872989185455,324
620,1734347877453081455,1734347877789054455,336
621,1734347880793049455,1734347881089235455,296
622,1734347881917180455,1734347882133055455,216
623,1734347882137062455,1734347882517088455,380
624,1734347882993073455,1734347883349063455,356
625,1734347885305340455,1734347885705068455,400
626,1734347885937088455,1734347886285602455,349
627,1734347886697078455,1734347887141165455,444
628,1734347888173105455,1734347888709088455,536
629,1734347888789077455,1734347889261338455,472
630,1734347889381170455,1734347889765062455,384
631,1734347889945265455,1734347890245100455,300
632,1734347890553084455,1734347890773073455,220
633,1734347890777136455,1734347891245274455,468
634,1734347891757264455,1734347892169583455,412
635,1734347892721072455,1734347893157165455,436
636,1734347893625088455,1734347893897085455,272
637,1734347894377138455,1734347894741131455,364
638,1734347895189070455,1734347895677126455,488
639,1734347899237065455,1734347899577071455,340
640,1734347905345098455,1734347905761209455,416
641,1734347911725188455,1734347912101153455,376
642,1734347915249072455,1734347915721059455,472
643,1734347915725267455,1734347916081129455,356
644,1734347916505061455,1734347916941163455,436
645,1734347917233118455,1734347917641076455,408
646,1734347919073109455,1734347919437045455,364
647,1734347922869151455,1734347923361147455,492
648,1734347923697157455,1734347923981082455,284
649,1734347934645055455,1734347934961172455,316
650,1734347935713147455,1734347936045054455,332
651,1734347937065139455,1734347937405062455,340
652,1734347939205071455,1734347939533110455,328
653,1734347939905089455,1734347940409091455,504
654,1734347940573043455,1734347940925213455,352
655,1734347941989079455,1734347942345075455,356
656,1734347943045055455,1734347943433170455,388
657,1734347943637074455,1734347944013186455,376
658,1734347944725149455,1734347945077055455,352
659,1734347946085059455,1734347946465069455,380
660,1734347947613137455,1734347948021247455,408
661,1734347948765083455,1734347949189096455,424
662,1734347949465049455,1734347949829063455,364
663,1734347950345152455,1734347950737082455,392
664,1734347951689282455,1734347951841110455,152
665,1734347951849185455,1734347952073035455,224
666,1734347952077195455,1734347952389088455,312
667,1734347952433063455,1734347952765066455,332
668,1734347952793089455,1734347953169089455,376
669,1734347953541316455,1734347953869067455,328
670,1734347953877062455,1734347954225100455,348
671,1734347954881383455,1734347955241072455,360
672,1734347964357151455,1734347964701042455,344
673,1734347965173082455,1734347965681120455,508
674,1734347965749121455,1734347966177164455,428
675,1734347966181159455,1734347966545116455,364
676,1734347968289119455,1734347968725081455,436
677,1734347969821191455,1734347970237093455,416
678,1734347970525086455,1734347970913063455,388
679,1734347971317175455,1734347971737224455,420
680,1734347976153053455,1734347976649046455,496
681,1734347979625122455,1734347980001105455,376
682,1734347982413062455,1734347982789234455,376
683,1734347983153042455,1734347983581214455,428
684,1734347984085159455,1734347984449060455,364
685,1734347985977169455,1734347986253053455,276
686,1734347986757093455,1734347987117189455,360
687,1734347988205087455,1734347988685071455,480
688,1734347991653316455,1734347991921082455,268
689,1734347993477046455,1734347993889043455,412
690,1734347996945084455,1734347997233042455,288
691,1734347997457395455,1734347997753051455,296
692,1734347999549069455,1734348000117063455,568
693,1734348001597146455,1734348001869235455,272
694,1734348004257062455,1734348004585062455,328
