saccade id,start timestamp [ns],end timestamp [ns],duration [ms],amplitude [px],amplitude [deg],mean velocity [px/s],peak velocity [px/s]
539,1734347027973070455,1734347028037075455,64,136.5605591162113,10.00544728323212,2508.114329588316,4153.623435969668
540,1734347028529059455,1734347028721088455,192,16.86380123642199,1.2483557370220897,3202.993455548976,6183.036508475025
541,1734347029437080455,1734347029653054455,216,109.57634806429064,8.045246413191968,3034.1977626316625,6448.04945761873
542,1734347029853044455,1734347029933074455,80,152.56455715596215,11.17096576581313,1960.910418787872,4572.538982328455
543,1734347030121073455,1734347030149077455,28,49.54867759754093,3.6228313348890175,1736.2242006749168,2274.7410734438904
544,1734347030389063455,1734347030465119455,76,294.45327794680844,21.663946766075902,4056.426710922578,7233.3955679819455
545,1734347030865165455,1734347031105106455,240,9.51512270787384,0.7096446019985689,3503.7076787854226,8527.24445555309
546,1734347032369074455,1734347032557081455,188,28.954284579825813,2.18242047102717,2721.766898097316,5323.644171197532
547,1734347034129149455,1734347034317071455,188,7.460307999185489,0.5647603026938329,2502.791913979526,4735.686397358496
548,1734347034917043455,1734347034981078455,64,183.23191547716104,13.625006352772148,2906.6579135747666,4083.209272694524
549,1734347035133356455,1734347035193069455,60,164.2493567700954,12.179294714599026,2782.784740826228,4244.368222693835
550,1734347035393081455,1734347035625115455,232,13.421569352132996,0.9882570103524726,3155.5445908464826,8925.218305036753
551,1734347038897158455,1734347038965151455,68,178.51968162496257,13.183562800129682,2645.133125692309,4088.2609219668607
552,1734347039205148455,1734347039225067455,20,21.72604049851284,1.593512684904279,1244.0958878924328,1411.3494208472516
553,1734347039381108455,1734347039421128455,40,118.32084625524762,8.759940036755868,3162.4270386950434,4436.918274581187
554,1734347039789067455,1734347039821346455,32,45.81124701360121,3.381289573924296,1600.500749575922,1958.2897596019595
555,1734347040265118455,1734347040305069455,40,74.67012150671734,5.525815073041067,1960.3324959214,2633.8892806513622
556,1734347040445089455,1734347040509177455,64,201.60313561741097,14.86563461447938,3161.1117349628275,4926.085838541884
557,1734347041153080455,1734347041189177455,36,73.19866358226136,5.428235772402255,2174.521510688568,2775.944561327658
558,1734347041633047455,1734347041661225455,28,36.17885624927527,2.671962118263952,1557.918228434774,1756.3204494889742
559,1734347041885076455,1734347041921218455,36,61.121169424738646,4.508438630335149,1854.88231504663,2595.3597888692216
560,1734347042129116455,1734347042149066455,20,23.44378817247557,1.7439609814728807,1245.501084988443,1416.8615157019374
561,1734347042469098455,1734347042497059455,28,35.84445603933635,2.649051433487754,1536.9206903455283,1837.954495653915
562,1734347043125070455,1734347043157091455,32,40.26226855803176,2.9571793849082395,1449.0224459788378,1788.303453470278
563,1734347043337050455,1734347043369053455,32,46.90559553016282,3.4410306797216794,1677.681188075618,2077.294544427521
564,1734347043529108455,1734347043569063455,40,79.87294682542432,5.9058449352651365,2375.637217883264,3226.820191100351
565,1734347043797077455,1734347043829097455,32,33.55324038017397,2.4749137174348603,1294.076877746612,1580.9422132929917
566,1734347044017088455,1734347044065229455,48,152.51257341456548,11.275890886593697,3176.5629523347884,5008.287959830059
567,1734347044165066455,1734347044185070455,20,22.07073717271047,1.648800412842441,1168.7233746516129,1280.577787756539
568,1734347044305057455,1734347044449077455,144,86.87659331910217,6.527321389596154,1919.709751634437,5341.521356661646
569,1734347044617067455,1734347044649056455,32,92.26204546482028,6.810098617517216,2826.1491450576186,3725.9771976070215
570,1734347044869100455,1734347044905076455,36,72.08905276706383,5.29905279581229,2215.3654470317865,2890.8450139640204
571,1734347045173070455,1734347045362094455,189,265.51329419142183,19.6572352821169,2814.8810146436385,6382.13560158668
572,1734347045545063455,1734347045601085455,56,176.82240336174712,13.16627256492598,3307.8336602388035,5250.924910686023
573,1734347046029104455,1734347046229111455,200,178.65731964514652,13.331213225067057,3120.445943322752,5630.115420759719
574,1734347047449167455,1734347047489146455,40,60.27448379482674,4.470055465004497,1907.2665850626213,2405.771994343403
575,1734347047809058455,1734347047857084455,48,111.2438494492878,8.25664371081609,2324.418784240942,3361.4733129380493
576,1734347048057066455,1734347048089130455,32,38.430836363897285,2.853552046153599,1456.5232952649287,1812.353001152082
577,1734347048225104455,1734347048653071455,428,153.57371817639338,11.441284191540737,2354.5274363033004,6113.833873343694
578,1734347048933126455,1734347048981168455,48,166.45531318481773,12.374358128564248,3769.256681028038,6007.090470377255
579,1734347049313048455,1734347049345073455,32,35.92819007469279,2.677371941971939,1379.5422881022412,1602.1752191305209
580,1734347049897427455,1734347050141081455,244,57.92205044271672,4.296662320843851,3170.9728717584176,5804.347672972847
581,1734347050433088455,1734347050453172455,20,21.140246390156783,1.5886377698469156,1200.2821089459596,1266.3885318607663
582,1734347050622500455,1734347050653069455,31,50.117749307567735,3.757358070912143,1833.70075025553,2223.0478848602934
583,1734347050797187455,1734347050821099455,24,27.97990987443977,2.0817886273378203,1188.709202027636,1353.232188571642
584,1734347051069075455,1734347051097110455,28,31.649721007269942,2.3681295204600348,1365.418950173017,1589.9138424267533
585,1734347051317128455,1734347051349071455,32,70.03013976826506,5.264244024897565,2094.63961536861,2707.358070867624
586,1734347051597224455,1734347051637054455,40,55.15631156348086,4.098930411706672,1425.31556772751,1684.5127619181146
587,1734347051837245455,1734347051885082455,48,107.17782417764384,7.956508566154829,2255.1961277112287,3148.745760370344
588,1734347051997071455,1734347052017136455,20,31.53809799304988,2.336809109892374,1496.4137818297218,1875.7623760508816
589,1734347052385266455,1734347052417165455,32,83.24310047075193,6.191193651466074,2433.6382874518545,3337.20342085972
590,1734347052633044455,1734347052661143455,28,31.505301734992045,2.315913350518912,1352.565979898795,1642.9315746604186
591,1734347052901170455,1734347052933020455,32,35.11244265169379,2.6004401509827133,1292.2929751457748,1618.8083056631226
592,1734347053161050455,1734347053193060455,32,62.60403007406627,4.645964207568232,1862.6794818823744,2439.776176973845
593,1734347053417066455,1734347053445078455,28,57.1847077712712,4.25652455222738,2091.1780102197977,2665.5611795660043
594,1734347053665126455,1734347053689117455,24,33.09829911604868,2.441030788285573,1477.9068536631337,1730.9634797947049
595,1734347054093048455,1734347054121121455,28,47.84118849218086,3.5856487877171777,1699.508648471222,2014.661548530404
596,1734347054325329455,1734347054381102455,56,182.5874290049909,13.673326418206644,3414.780732038862,5202.377053299867
597,1734347054537064455,1734347054561269455,24,27.712394577622764,2.062526570994863,1252.2533981225365,1463.4674910483363
598,1734347054693069455,1734347054733088455,40,99.15005570118504,7.384194656243792,2540.61012783306,3569.0180936875863
599,1734347054961112455,1734347054981107455,20,20.76414325546914,1.5518233733724307,1072.6164177584542,1157.101872170172
600,1734347055089084455,1734347055129018455,40,58.70325952452544,4.384229971374784,1817.6023618463987,2352.251779132181
601,1734347055317057455,1734347055341109455,24,25.593790632197013,1.9441262944489208,1138.1936021191923,1303.2413430629078
602,1734347055609657455,1734347055637217455,28,32.6608518129133,2.4196808343066114,1350.0953802564163,1480.9684747680185
603,1734347055997058455,1734347056065044455,68,231.675460111712,17.165472895677727,3352.3102587746143,4950.840723658326
604,1734347056413127455,1734347056453127455,40,99.73449406937031,7.411027733678706,2614.5250007554723,3609.9492308747313
605,1734347056625145455,1734347056969068455,344,130.73928668837073,9.701292280305015,2354.8156430928225,6682.765523053247
606,1734347057625052455,1734347057657083455,32,68.20304742328507,5.073496526232399,2505.4882310141065,3232.0056540047594
607,1734347057873087455,1734347057893074455,20,24.62529494592226,1.8358508370878928,1313.800317975669,1535.8843307571874
608,1734347058213096455,1734347058237091455,24,38.47779982028374,2.857994415085724,1647.7124896571536,1865.7006943225365
609,1734347059129048455,1734347059162346455,33,49.73134671618458,3.708961252535608,1606.5874902825528,2061.799471890166
610,1734347059737068455,1734347059765073455,28,40.0868059725465,3.00957861761144,1466.541922405747,1852.9529656150564
611,1734347060413106455,1734347060441048455,28,31.601443729430063,2.341663991192708,1321.8352231403398,1513.265986275728
612,1734347060809061455,1734347060849074455,40,68.60226842890887,5.157768882911647,1831.879474620987,2620.4684624829447
613,1734347060977041455,1734347061017035455,40,108.44616768287642,8.189012261873176,2896.6466647749858,4202.757576250757
614,1734347061249124455,1734347061281096455,32,43.86987452038973,3.2832230629215484,1564.0967598443888,1906.2644168153213
615,1734347061417163455,1734347061449086455,32,77.67006531273755,5.817133288482075,2291.233743597129,3033.3675364879546
616,1734347061785055455,1734347061805048455,20,21.36469007741858,1.6176377672299669,1123.8960554457478,1243.2872867723663
617,1734347062033107455,1734347062057067455,24,27.24472436196054,2.050526455531609,1214.2046987230783,1351.5216833739205
618,1734347062205091455,1734347062277166455,72,173.63267467301932,12.930871027021071,2551.025655811912,3873.045921762416
619,1734347062457050455,1734347062701123455,244,43.05264019128988,3.23205250538584,2382.1767004669164,4888.038058188237
620,1734347062837045455,1734347062877080455,40,118.28796586094391,8.765696487607142,3059.2554783119654,4179.973434560754
621,1734347063237310455,1734347063445154455,208,55.03858635662368,4.111842724777789,3501.92572698646,6945.048897175518
622,1734347065149081455,1734347065177102455,28,24.93077734120418,1.8449571330393213,1139.519245964625,1234.0972443697956
623,1734347065401081455,1734347065425213455,24,28.19952819007523,2.086932985490314,1281.4949947358598,1505.8337971944493
624,1734347065885141455,1734347065941081455,56,140.51021758795372,10.415935820980827,2637.896607884362,4575.448809433323
625,1734347066361086455,1734347066401242455,40,77.20289625562201,5.7132711748244684,1991.12730860362,2654.528790734782
626,1734347066633046455,1734347066657046455,24,30.27892551367636,2.238846551481388,1338.1078622580294,1528.7043319189886
627,1734347067109132455,1734347067145221455,36,72.51941736299425,5.356880326577451,2174.255358836225,2903.737240290134
628,1734347067625099455,1734347067685145455,60,172.4243992332695,12.769657228215529,3022.9498420303858,4688.590905914469
629,1734347067821095455,1734347067849141455,28,54.0092093806572,4.0017779502729045,1986.051657437339,2492.962111214254
630,1734347069201131455,1734347069257050455,56,114.67166236872832,8.489735194877726,2191.632611847654,3058.566274584325
631,1734347069405061455,1734347069433062455,28,32.07921186879925,2.3710710087862217,1466.427377083605,1735.7919635702738
632,1734347069505055455,1734347069677249455,172,24.518450035733736,1.7961079431821425,2390.3675068368298,5000.85779141442
633,1734347070017157455,1734347070037043455,20,23.80756313404386,1.77114525587,1242.6671376170216,1403.7719076819044
634,1734347071297060455,1734347071545089455,248,90.94745469418686,6.712999406734315,2122.5354804722483,5731.347118207875
635,1734347071681064455,1734347071733167455,52,188.20190541556104,13.94078107435342,3504.967042550554,5368.995479561901
636,1734347072361146455,1734347072425049455,64,130.89366517226307,9.705694845428814,2101.117789740601,3045.866636374829
637,1734347072525063455,1734347072549138455,24,40.51965323709892,3.025596511217618,1795.4735285219122,2124.3996607599147
638,1734347073121260455,1734347073157191455,36,65.23056260306161,4.838695661035335,1946.5478978838728,2679.543180910013
639,1734347073942250455,1734347073989115455,47,147.54345757854017,10.928277850231366,3072.208019745277,4439.775168047445
640,1734347075533048455,1734347075725150455,192,16.189244323164825,1.2110736995076083,2251.192357125737,4882.901687075954
641,1734347077221128455,1734347077285286455,64,191.3371212332481,14.178160420270675,2979.006291992192,4804.304925330552
